epoch 316, train loss 0.8714, test loss 1.045, test acc 0.9186
epoch 317, train loss 0.8713, test loss 1.042, test acc 0.9198
epoch 318, train loss 0.8712, test loss 1.046, test acc 0.9187
epoch 319, train loss 0.8713, test loss 1.043, test acc 0.9193
epoch 320, train loss 0.8717, test loss 1.039, test acc 0.9219
epoch 321, train loss 0.8706, test loss 1.042, test acc 0.9223
epoch 322, train loss 0.8711, test loss 1.047, test acc 0.9179
epoch 323, train loss 0.8713, test loss 1.049, test acc 0.9172
epoch 324, train loss 0.8705, test loss 1.039, test acc 0.9195
epoch 325, train loss 0.8713, test loss 1.044, test acc 0.9189
epoch 326, train loss 0.8709, test loss 1.045, test acc 0.9177
epoch 327, train loss 0.8706, test loss 1.039, test acc 0.9208
epoch 328, train loss 0.8708, test loss 1.041, test acc 0.9201
epoch 329, train loss 0.8715, test loss 1.047, test acc 0.9179
epoch 330, train loss 0.8715, test loss 1.046, test acc 0.9174
epoch 331, train loss 0.8715, test loss 1.049, test acc 0.9178
epoch 332, train loss 0.8712, test loss 1.047, test acc 0.9203
epoch 333, train loss 0.8711, test loss 1.051, test acc 0.917
epoch 334, train loss 0.8708, test loss 1.049, test acc 0.9171
epoch 335, train loss 0.8714, test loss 1.038, test acc 0.9216
epoch 336, train loss 0.871, test loss 1.047, test acc 0.9182
epoch 337, train loss 0.8707, test loss 1.048, test acc 0.919
epoch 338, train loss 0.8715, test loss 1.041, test acc 0.9196
epoch 339, train loss 0.871, test loss 1.046, test acc 0.92
epoch 340, train loss 0.8707, test loss 1.045, test acc 0.9188
epoch 341, train loss 0.8709, test loss 1.044, test acc 0.9195
epoch 342, train loss 0.8708, test loss 1.042, test acc 0.9199
epoch 343, train loss 0.8711, test loss 1.042, test acc 0.923
epoch 344, train loss 0.8707, test loss 1.049, test acc 0.9172
epoch 345, train loss 0.8707, test loss 1.049, test acc 0.9169
epoch 346, train loss 0.8701, test loss 1.041, test acc 0.9223
epoch 347, train loss 0.8704, test loss 1.051, test acc 0.9166
epoch 348, train loss 0.8708, test loss 1.049, test acc 0.9174
epoch 349, train loss 0.8707, test loss 1.046, test acc 0.9214
epoch 350, train loss 0.8705, test loss 1.047, test acc 0.9211
epoch 351, train loss 0.871, test loss 1.045, test acc 0.9191
epoch 352, train loss 0.871, test loss 1.043, test acc 0.9213
epoch 353, train loss 0.8706, test loss 1.045, test acc 0.918
epoch 354, train loss 0.8703, test loss 1.042, test acc 0.9199
epoch 355, train loss 0.8712, test loss 1.047, test acc 0.9205
epoch 356, train loss 0.8706, test loss 1.045, test acc 0.9171
epoch 357, train loss 0.8702, test loss 1.039, test acc 0.9222
epoch 358, train loss 0.8704, test loss 1.04, test acc 0.9217
epoch 359, train loss 0.8707, test loss 1.041, test acc 0.921
epoch 360, train loss 0.8705, test loss 1.037, test acc 0.9226
epoch 361, train loss 0.8702, test loss 1.041, test acc 0.919
epoch 362, train loss 0.8704, test loss 1.043, test acc 0.9202
epoch 363, train loss 0.8701, test loss 1.04, test acc 0.9203
epoch 364, train loss 0.8711, test loss 1.052, test acc 0.918
epoch 365, train loss 0.8707, test loss 1.035, test acc 0.9251
epoch 366, train loss 0.8709, test loss 1.043, test acc 0.9185
epoch 367, train loss 0.8704, test loss 1.042, test acc 0.9204
epoch 368, train loss 0.8705, test loss 1.034, test acc 0.9242
epoch 369, train loss 0.8699, test loss 1.039, test acc 0.9223
epoch 370, train loss 0.8703, test loss 1.039, test acc 0.9228
epoch 371, train loss 0.8709, test loss 1.048, test acc 0.9165
epoch 372, train loss 0.8708, test loss 1.046, test acc 0.9206
epoch 373, train loss 0.8699, test loss 1.044, test acc 0.9212
epoch 374, train loss 0.8703, test loss 1.045, test acc 0.9195
epoch 375, train loss 0.871, test loss 1.041, test acc 0.9217
epoch 376, train loss 0.8704, test loss 1.044, test acc 0.9217
epoch 377, train loss 0.8704, test loss 1.044, test acc 0.9182
epoch 378, train loss 0.8705, test loss 1.045, test acc 0.9192
epoch 379, train loss 0.8709, test loss 1.046, test acc 0.9167
epoch 380, train loss 0.8702, test loss 1.04, test acc 0.9215
epoch 381, train loss 0.8701, test loss 1.045, test acc 0.9183
epoch 382, train loss 0.8715, test loss 1.05, test acc 0.9172
epoch 383, train loss 0.8709, test loss 1.045, test acc 0.9168
epoch 384, train loss 0.8706, test loss 1.042, test acc 0.9208
epoch 385, train loss 0.8699, test loss 1.037, test acc 0.9208
epoch 386, train loss 0.87, test loss 1.041, test acc 0.9185
epoch 387, train loss 0.8704, test loss 1.044, test acc 0.9199
epoch 388, train loss 0.8704, test loss 1.043, test acc 0.9196
epoch 389, train loss 0.8711, test loss 1.042, test acc 0.9188
epoch 390, train loss 0.8703, test loss 1.047, test acc 0.9187
epoch 391, train loss 0.8707, test loss 1.042, test acc 0.9196
epoch 392, train loss 0.8703, test loss 1.041, test acc 0.9208
epoch 393, train loss 0.8707, test loss 1.043, test acc 0.9228
epoch 394, train loss 0.8706, test loss 1.039, test acc 0.9215
epoch 395, train loss 0.8703, test loss 1.038, test acc 0.9222
epoch 396, train loss 0.87, test loss 1.039, test acc 0.9218
epoch 397, train loss 0.8707, test loss 1.042, test acc 0.9192
epoch 398, train loss 0.8705, test loss 1.038, test acc 0.9225
epoch 399, train loss 0.8704, test loss 1.047, test acc 0.9192
epoch 400, train loss 0.8703, test loss 1.039, test acc 0.9197
